Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/payments/{payment_id},569,0,9,12.242255269210975,2.947875065729022,199.1463330341503,455.0,9.615344693994311,0.0,9,11,12,13,16,23,55,100,200,200,200
GET,GET /v1/payments/{payment_id}/events,101,0,9,10.50848639708492,4.078583908267319,38.494791951961815,627.0,1.7067659298654227,0.0,9,11,12,13,16,19,28,33,38,38,38
POST,POST /v1/payments,253,0,15,18.101552814215776,5.16641594003886,279.45937495678663,357.0,4.275364160950019,0.0,15,17,19,21,24,32,46,56,280,280,280
,Aggregated,923,0,10,13.65860588979763,2.947875065729022,279.45937495678663,446.95882990249186,15.597474784809753,0.0,10,12,14,16,20,27,51,97,280,280,280
