Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788424921,25,,Aggregated,40.100000,0.000000,7,9,10,11,14,19,44,57,240,240,240,1194,0,7,9.853409810426179,2.5171670131385326,243.9269170863554,440.89112227805697
1788424922,25,,Aggregated,40.800000,0.000000,7,8,10,11,14,19,43,55,240,240,240,1239,0,7,9.741092360348466,2.5171670131385326,243.9269170863554,440.49475383373687
1788424923,25,,Aggregated,40.400000,0.000000,7,8,10,11,14,19,42,55,240,240,240,1282,0,7,9.68103339570878,2.5171670131385326,243.9269170863554,440.17940717628704
1788424924,25,,Aggregated,40.800000,0.000000,7,8,10,11,14,18,40,55,240,240,240,1327,0,7,9.57891668056888,2.5171670131385326,243.9269170863554,440.3519216277317
1788424925,25,,Aggregated,41.300000,0.000000,7,8,10,11,14,18,36,55,240,240,240,1369,0,7,9.50629971664633,2.5171670131385326,243.9269170863554,440.4989043097151
1788424926,25,,Aggregated,42.300000,0.000000,7,8,10,11,14,18,35,54,240,240,240,1414,0,7,9.447928970380616,2.5171670131385326,243.9269170863554,440.6152758132956
1788424927,25,,Aggregated,42.300000,0.000000,7,8,10,10,14,18,34,54,240,240,240,1459,0,7,9.3415672438426,2.5171670131385326,243.9269170863554,440.1363947909527
1788424928,25,,Aggregated,42.200000,0.000000,7,8,10,10,14,18,33,53,240,240,240,1501,0,7,9.270794961730553,2.5171670131385326,243.9269170863554,440.2271818787475
1788424929,25,,Aggregated,42.700000,0.000000,7,8,10,10,14,18,33,53,240,240,240,1541,0,7,9.250103037606134,2.5171670131385326,243.9269170863554,439.8955223880597
1788424930,25,,Aggregated,43.500000,0.000000,7,8,10,10,14,18,33,53,240,240,240,1579,0,7,9.217573454847738,2.5171670131385326,243.9269170863554,439.7169094363521
1788424931,25,,Aggregated,43.600000,0.000000,7,8,10,10,14,18,31,52,240,240,240,1620,0,7,9.197526248344392,2.5171670131385326,243.9269170863554,439.5753086419753
1788424932,25,,Aggregated,43.100000,0.000000,7,8,10,10,14,18,29,52,240,240,240,1661,0,7,9.136602360251135,2.5171670131385326,243.9269170863554,439.4262492474413
1788424933,25,,Aggregated,42.900000,0.000000,7,8,10,10,14,18,31,53,240,240,240,1703,0,7,9.162644858207363,2.5171670131385326,243.9269170863554,439.17850851438635
1788424934,25,,Aggregated,42.600000,0.000000,7,8,9,10,14,18,31,53,240,240,240,1745,0,7,9.100116564582681,2.5171670131385326,243.9269170863554,438.9702005730659
1788424935,25,,Aggregated,42.300000,0.000000,7,8,9,10,14,18,29,53,240,240,240,1787,0,7,9.059476558596968,2.5171670131385326,243.9269170863554,439.1152770005596
1788424936,25,,Aggregated,41.300000,0.000000,7,8,9,10,13,18,26,52,240,240,240,1822,0,7,9.00986854423504,2.5171670131385326,243.9269170863554,439.0581778265642
1788424937,25,,Aggregated,41.300000,0.000000,7,8,9,10,13,18,26,52,240,240,240,1861,0,7,8.98660824581338,2.5171670131385326,243.9269170863554,439.3804406233208
1788424938,25,,Aggregated,41.700000,0.000000,7,8,9,10,13,17,26,52,240,240,240,1906,0,7,8.975761995947913,2.5171670131385326,243.9269170863554,439.00419727177336
1788424939,25,,Aggregated,40.900000,0.000000,7,8,9,10,13,17,26,52,240,240,240,1947,0,7,8.919696364830175,2.5171670131385326,243.9269170863554,439.6697483307653
1788424940,25,,Aggregated,40.300000,0.000000,7,8,9,10,13,17,24,52,240,240,240,1986,0,7,8.883370862770095,2.5171670131385326,243.9269170863554,439.8982880161128
1788424941,25,,Aggregated,40.500000,0.000000,7,8,9,10,13,17,24,49,230,240,240,2027,0,7,8.853197599507107,2.5171670131385326,243.9269170863554,439.9511593487913
1788424942,25,,Aggregated,40.100000,0.000000,7,8,9,10,13,17,24,49,230,240,240,2064,0,7,8.85683914407133,2.5171670131385326,243.9269170863554,439.8062015503876
1788424943,25,,Aggregated,40.100000,0.000000,7,8,9,10,13,17,24,49,230,240,240,2109,0,7,8.79943436633216,2.5171670131385326,243.9269170863554,439.7596017069701
1788424944,25,,Aggregated,40.400000,0.000000,7,8,9,10,13,17,24,49,230,240,240,2149,0,7,8.78979467041227,2.5171670131385326,243.9269170863554,439.5193113075849
1788424945,25,,Aggregated,40.200000,0.000000,7,8,9,10,13,17,24,49,230,240,240,2195,0,7,8.804380332102792,2.5171670131385326,243.9269170863554,439.6997722095672
